date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2017-09-30;4,903;-2,438;2,465;-707;-;-1,447;18;329;-58;270;-99;171;4,6;2,008;-;6,694;-;763;14,064;-;1,933;-;11,635;7,258;20,827;34,892;1,199;151;-;887;1,546;3,783;7,946;-;15726;101;3,714;5,926;-18;0;9,722;9,443;19,166;230;-;-;495;13;85;-;-;154;1,207;-456;44;-413;-85;-;-;-147;-232;-9;553;203
2017-12-31;4,8;-2,504;2,296;-767;-;-1,947;57;-361;-180;-181;103;-78;5,075;2,071;-;5,877;-;720;13,743;-;2,105;-;11,611;7,85;21,566;35,309;1,457;-;-;1,852;1,926;5,235;7,332;-;16137;101;3,714;5,99;-18;-;9,787;9,385;19,172;231;-;-;892;20;84;-;-;251;1,012;-649;66;-584;-569;446;-;165;41;5;474;203
2018-03-31;5,753;-2,804;2,949;-821;-;76;113;2,316;-445;1,872;-949;922;5,75;2,28;-;6,828;-;790;15,649;-;2,248;-;11,461;8,178;21,887;37,536;1,472;428;-;1,418;2,017;5,334;7,577;-;16623;101;3,714;6,859;-18;0;10,655;10,257;20,912;229;-;-;-1,087;263;72;-;-;-432;1,026;-864;356;-508;-134;-;-;300;166;-9;675;203
2018-06-30;6,001;-2,957;3,045;-734;-;-495;15;1,831;-436;1,395;-619;776;4,846;2,472;-;7,581;-;669;15,568;-;2,034;-;11,495;8,449;21,978;37,547;1,443;295;-;1,437;1,492;4,666;7,744;-;16280;101;3,714;7,069;-18;0;10,865;10,4;21,266;235;-;-;-515;625;100;-;-;-1,239;312;-511;416;-96;-41;-1,081;-;-6;-1,129;8;-904;203
2018-09-30;5,317;-2,754;2,563;-790;-;-930;-45;798;-190;608;-305;303;4,462;2,191;-;8,034;-;780;15,466;-;2,012;-;11,471;8,684;22,167;37,633;1,487;551;-;1,347;1,531;4,916;6,972;-;15783;101;3,714;7,348;-18;0;11,144;10,705;21,849;238;-;-;-39;16;81;-;-;-303;694;-481;87;-394;-81;-;-;-604;-685;0;-385;203
2018-12-31;5,558;-2,787;2,771;-850;-;-1,707;32;247;-109;355;-59;297;4,393;2,293;-;1,897;-;6,636;15,219;-;2,237;-;11,435;9,064;22,736;37,955;1,629;441;-;941;1,999;5,01;6,965;-;15500;101;3,714;7,859;-18;-;11,656;10,798;22,454;266;-;-;451;43;82;-;-;166;1,13;-677;68;-608;-539;516;-;-583;-606;16;-69;203
2019-03-31;5,563;-2,798;2,766;-906;-;-1,197;82;745;-152;593;-233;360;4,165;2,455;-;7,496;-;868;14,984;-;2,347;-;11,477;10,604;24,428;39,413;1,476;754;-;1,03;1,533;4,793;6,885;-;16409;101;3,714;8,187;-18;0;11,984;11,019;23,003;320;-;-;100;432;59;-;-;-903;261;-438;23;-415;-78;-8;-;1;-84;10;-227;203
2019-06-30;6,079;-3,347;2,732;-777;-;-874;89;1,17;-235;935;-401;534;3,295;2,561;-;7,62;-;850;14,327;-;2,219;-;11,453;10,779;24,451;38,778;1,595;713;-;1,063;1,336;4,706;6,831;-;16304;101;3,714;7,974;-18;0;11,77;10,703;22,474;332;-;-;-290;374;79;-;-;-374;838;-303;306;3;-79;-1,408;-;-210;-1,698;-14;-870;203
2019-09-30;5,768;-3,373;2,395;-845;-;-1,575;-137;-161;-29;-133;94;-39;4,566;2,381;-;6,882;-;859;14,688;-;2,21;-;11,522;10,89;24,622;39,31;1,716;1,265;-;1,048;1,402;5,431;6,726;-;16767;101;3,714;8,105;-18;0;11,901;10,641;22,542;342;-;-;659;27;84;-;-;419;1,259;-251;56;-195;-27;-2;-;224;196;10;1,27;203
2019-12-31;5,901;-3,046;2,855;-921;-;-1,036;105;1,003;-200;803;-402;400;4,251;2,468;-;7,289;-;851;14,859;-;2,395;-;11,43;11,147;24,972;39,831;1,704;255;-;1,766;1,653;5,378;5,568;-;16499;101;3,714;8,482;-18;-1;12,278;11,053;23,331;345;-;-;-358;49;83;-;-;-177;813;-554;101;-453;-818;711;-;-564;-670;-5;-315;203
2020-03-31;5,856;-2,885;2,972;-1,022;-;-1,73;-203;17;-21;-4;-32;-37;4,259;2,579;-;6,86;-;897;14,595;-;2,5;-;11,837;11,942;26,28;40,875;1,54;1,061;-;1,083;1,617;5,302;5,994;-;16948;101;3,714;8,961;-18;0;12,758;11,169;23,927;370;-;-;734;237;101;-;-;-699;421;-635;7;-629;44;-5;-;149;188;26;7;203
2020-06-30;5,306;-2,911;2,395;-785;-;-857;-39;714;-143;571;-209;362;4,482;2,11;-;7,165;-;877;14,634;-;2,46;-;11,689;11,714;25,864;40,498;1,432;1,371;-;1,657;1,424;5,884;5,782;-;17336;101;3,714;8,525;-18;0;12,321;10,84;23,161;381;-;-;-307;48;90;-;-;162;950;-262;21;-241;-147;-979;-;652;-474;-12;223;203
2020-09-30;5,538;-3,185;2,353;-841;-;-1,04;-15;457;-93;363;-163;200;4,173;2,048;-;7,248;-;675;14,143;-;2,475;-;11,719;11,661;25,855;39,999;1,478;674;-;1,719;1,337;5,207;5,666;-;16528;101;3,714;8,667;-18;0;12,463;11,007;23,471;375;-;-;-63;192;75;-;-;98;867;-338;113;-225;-100;-;-;-848;-947;-4;-309;203
2020-12-31;5,734;-4,098;1,636;-957;-;-920;80;-161;-52;-109;76;-33;4,463;2,045;-;1,569;-;5,921;13,998;-;2,569;-;11,468;11,706;25,743;39,741;1,369;1,05;-;1,528;1,673;5,62;5,651;-;16750;101;3,714;8,312;-18;-;12,109;10,882;22,991;394;-;-;632;14;79;-;-;-159;706;-294;-15;-309;-646;476;-;77;-93;-14;290;203
2021-03-31;5,953;-3,053;2,9;-1,045;-;-748;-5;1,101;-249;852;-386;466;4,772;2,179;-;6,855;-;866;14,673;-;2,635;-;11,49;12,029;26,154;40,827;1,455;574;-;1,596;1,78;5,405;5,749;-;17047;101;3,714;8,726;-18;0;12,523;11,257;23,779;389;-;-;-401;126;80;-;-;45;1,134;-220;-38;-258;-81;-;-;-485;-566;0;309;203
2021-06-30;6,263;-3,182;3,081;-934;-;-627;-31;1,489;-331;1,159;-546;612;3,694;2,348;-;7,997;-;858;14,896;-;2,461;-;11,759;12,206;26,427;41,323;1,889;878;-;1,071;1,779;5,617;5,939;-;17594;101;3,714;8,606;-18;0;12,403;11,325;23,728;395;-;-;-643;139;74;-;-;-215;1,027;-345;-10;-355;-71;-1,309;-;-371;-1,751;1;-1,078;203
2021-09-30;7,39;-4,377;3,013;-1,028;-;-1,429;75;631;-114;517;-148;369;5,371;2,474;-;7,299;-;751;15,895;-;2,65;-;11,725;12,36;26,736;42,631;1,918;521;-;1,095;1,863;5,398;6,91;-;18398;101;3,714;8,979;-18;0;12,775;11,457;24,232;398;-;-;87;17;74;-;-;436;1,553;-354;11;-343;-54;-10;-;524;460;7;1,677;203
2021-12-31;6,966;-3,497;3,469;-1,057;-;-1,262;5;1,155;-244;910;-375;535;5,329;2,321;-;1,932;-;6,889;16,471;-;3,049;-;11,679;12,582;27,31;43,781;1,921;583;-;1,274;2,193;5,971;6,663;-;18593;101;3,714;9,575;-18;-;13,372;11,815;25,187;398;-;-;-256;165;98;-;-;-375;922;-419;-275;-694;-733;613;-;-151;-271;1;-42;203
2022-03-31;6,565;-3,038;3,526;-1,178;-;-1,095;112;1,366;-313;1,053;-538;516;4,822;2,629;-;8,844;-;1,086;17,382;-;3,146;-;11,752;12,879;27,777;45,159;1,958;676;-;1,123;2,249;6,005;6,575;-;18894;101;3,714;10,157;-18;0;13,954;12,311;26,265;442;-;-;-311;159;85;-;-;-1,201;296;-340;-51;-392;-90;-9;-;-309;-408;-3;-506;203
2022-06-30;7,852;-3,959;3,893;-1,038;-;-792;161;2,223;-471;1,752;-790;963;4,349;2,861;-;10,957;-;1,031;19,198;-;3,301;-;12,078;13,172;28,55;47,748;2,23;1,723;-;1,666;2,514;8,133;6,211;-;20950;101;3,714;10,63;-18;0;14,426;12,372;26,798;414;-;-;-1,11;291;104;-;-;-849;678;-550;140;-410;-9;-1,742;-;966;-784;43;-473;203
2022-09-30;9,094;-5,122;3,972;-1,149;-;-1,449;-6;1,367;-326;1,041;-328;714;4,282;3,061;-;10,781;-;945;19,069;-;3,372;-;12,169;13,481;29,023;48,093;2,379;694;-;1,742;2,49;7,304;6,131;-;20059;101;3,714;11,527;-18;0;15,324;12,71;28,034;437;-;-;-107;44;102;-;-;-37;1,66;-480;31;-450;-35;-2;-;-1,281;-1,318;41;-67;203
