ticker;report;date;rev;cost_sale;r_d;sale_gen_adm;inpairm;other_charg;op_income;int_income;int_exp;inc_b_tax;inc_tax_exp;net_inc;shares;eps_nor;eps_dil;cash_cash_eq;short_inv;acc_rec;invent;other_curr_ass;tot_curr_ass;ppe_net;goodwill;intang_ass;other_ass;tot_ass;short_debt;acc_pay;other_curr_liab;tot_curr_liab;tot_long_debt;other_liab;tot_equity;tot_liab;depr_amort;stock_b_comp
TSN;K;2018-10-01;40052;34926;0;2071;0;0;3055;7;350;2745;-282;3024;369;8.44;8.19;270;0;1723;3513;182;5688;6169;9739;6759;754;29109;1911;1694;1426;5031;7962;1198;12811;16298;943;69
TSN;Q;2019-01-01;10193;8838;0;548;0;0;807;2.75;99;713;161;551;366;1.54;1.5;400;0;1892;3777;232;6301;7018;10814;7441;761;32335;3917;1962;1551;7430;8075;1241;13259;19076;250;19.25
TSN;Q;2019-04-01;10443;9251;0;557;0;0;635;2.75;119;528;98;426;366;1.2;1.17;360;0;1837;3899;280;6376;7085;10946;7295;796;32498;1564;1710;1340;4614;10810;1238;13558;18940;273;19.25
TSN;Q;2019-07-01;10885;9549;0;555;0;0;781;2.75;121;724;43;676;367;1.9;1.84;406;0;2452;4149;426;7433;7271;10944;7206;811;33665;2125;1958;1514;5597;10461;1128;14141;19524;286;19.25
TSN;Q;2019-10-01;10884;9745;0;535;0;0;604;2.75;123;466;94;382;366;1.03;1.01;484;0;2173;4108;404;7169;7282;10844;7037;765;33097;2102;1926;1485;5513;9830;1172;14226;18871;289;19.25
TSN;K;2019-10-01;42405;37383;0;2195;0;0;2827;11;462;2431;396;2035;366;5.67;5.52;484;0;2173;4108;404;7169;7282;10844;7037;765;33097;2102;1926;1485;5513;9830;1172;14226;18871;1098;77
TSN;Q;2020-01-01;10815;9375;0;614;0;0;826;2.5;120;725;164;557;367;1.56;1.52;497;0;2063;4304;329;7193;7384;10862;6975;1397;33811;1947;1916;1673;5536;9772;1568;14566;19245;288;22.25
TSN;Q;2020-04-01;10888;9867;0;520;0;0;501;2.5;119;491;124;367;365;1.03;1;437;0;2248;4025;389;7099;7464;10847;6898;1582;33890;1142;1742;1522;4406;10978;1528;14449;19441;293;22.25
TSN;Q;2020-07-01;10022;8709;0;538;0;0;775;2.5;122;667;140;527;364;1.48;1.44;1365;0;2064;3915;355;7699;7515;10890;6842;1612;34558;750;1743;1780;4273;11279;1632;15004;19554;295;22.25
TSN;Q;2020-10-01;11460;9850;0;598;0;0;1012;2.5;124;887;192;689;365;1.95;1.9;1420;0;1952;4144;367;7883;7596;10899;6774;1589;34741;548;1876;1810;4234;10791;1728;15597;19144;316;22.25
TSN;K;2020-10-01;43185;37801;0;2270;0;0;3114;10;485;2770;620;2140;365;6.02;5.86;1420;0;1952;4144;367;7883;7596;10899;6774;1589;34741;548;1876;1810;4234;10791;1728;15597;19144;1192;89
TSN;Q;2021-01-01;10460;9283;0;472;0;0;705;2;110;616;144;467;365;1.31;1.28;2406;0;1900;3915;323;8544;7664;10913;6719;1618;35458;566;1997;2286;4849;10791;1706;15781;19677;298;22.75
TSN;Q;2021-04-01;11300;10047;0;533;0;0;720;2;110;624;147;476;365;1.34;1.3;877;0;2113;4128;896;8014;7661;10555;6649;1595;34474;580;1900;2132;4612;9784;1668;16070;18404;306;22.75
TSN;Q;2021-07-01;12478;10858;0;558;0;0;1062;2;105;966;213;749;366;2.11;2.05;1613;0;2324;4262;1009;9208;7725;10554;6587;1589;35663;1566;1950;2668;6184;8786;1692;16693;18970;302;22.75
TSN;Q;2021-10-01;12811;10335;0;567;0;0;1909;2;103;1835;477;1355;365;3.81;3.71;2507;0;2400;4382;533;9822;7837;10549;6519;1582;36309;1067;2225;3033;6325;8281;1654;17854;18455;308;22.75
TSN;K;2021-10-01;47049;40523;0;2130;0;0;4396;8;428;4041;981;3047;365;8.57;8.34;2507;0;2400;4382;533;9822;7837;10549;6519;1582;36309;1067;2225;3033;6325;8281;1654;17854;18455;1214;91
TSN;Q;2022-01-01;12933;10918;0;560;0;0;1455;4.25;100;1410;284;1121;365;3.16;3.07;2956;0;2091;4454;635;10136;8012;10550;6459;1667;36824;1090;2115;2829;6034;8274;1700;18542;18282;300;23.25
TSN;Q;2022-04-01;13117;11382;0;579;0;0;1156;4.25;97;1087;254;833;364;2.34;2.28;1151;0;2408;4990;448;8997;8193;10548;6397;1763;35898;79;2269;2309;4657;8270;1518;19156;16742;295;23.25
TSN;Q;2022-07-01;13495;11884;0;578;0;0;1033;4.25;85;986;233;750;362;2.14;2.07;1056;0;2518;5332;397;9303;8393;10531;6325;1693;36245;67;2306;2309;4682;8261;1474;19489;16756;297;23.25
TSN;Q;2022-10-01;13737;12430;0;541;0;0;766;4.25;83;666;129;534;363;1.54;1.5;1031;0;2577;5514;508;9630;8685;10513;6252;1741;36821;459;2483;2371;5313;7862;1377;19811;17010;310;23.25
TSN;K;2022-10-01;53282;46614;0;2258;0;0;4410;17;365;4149;900;3238;363;9.18;8.92;1031;0;2577;5514;508;9630;8685;10513;6252;1741;36821;459;2483;2371;5313;7862;1377;19811;17010;1202;93
TSN;Q;2023-01-01;13260;12292;0;501;0;0;467;9;84;434;114;320;358;0.91;0.88;654;0;2295;5596;408;8953;9120;10550;6213;1842;36678;490;2530;2094;5114;7859;1445;19787;16891;303;29
TSN;Q;2023-04-01;13133;12606;0;576;0;0;-49;7;89;-130;-39;-97;354;-0.28;-0.28;543;0;2433;5504;412;8892;9351;10550;6157;1846;36796;1065;2387;1894;5346;7865;1589;19558;17238;317;17
TSN;Q;2023-07-01;13140;12463;0;579;448;0;-350;6;89;-427;9;-435;354;-1.18;-1.18;699;0;2451;5391;342;8883;9612;10211;6155;1900;36761;457;2421;2070;4948;8863;1599;18910;17851;323;2
