end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2016-10-01,10-Q,0000100493,9156000000,8179000000,457000000,0.0,586000000,2000000,60000000,226000000,392000000,388000000,1.03,172000000.0,349000000,1542000000,2732000000,265000000,4888000000,5170000000,6669000000,5084000000,562000000,22373000000,79000000,1511000000,1242000000,2762000000,6200000000,1242000000,9608000000,TSN
2016-10-01,10-K,0000100493,36881000000,32184000000,1864000000,23000000.0,2833000000,6000000,249000000,826000000,1772000000,390000000,4.53,688000000.0,349000000,1542000000,2732000000,265000000,4888000000,5170000000,6669000000,5084000000,562000000,22373000000,79000000,1511000000,1242000000,2762000000,6200000000,1242000000,9608000000,TSN
2016-12-31,10-Q,0000100493,9182000000,7699000000,501000000,0.0,982000000,2000000,58000000,318000000,594000000,373000000,1.59,177000000.0,307000000,1512000000,2767000000,156000000,4742000000,5206000000,6669000000,5064000000,576000000,22257000000,66000000,1591000000,1279000000,2972000000,5901000000,1279000000,9550000000,TSN
2017-04-01,10-Q,0000100493,9083000000,8036000000,476000000,0.0,571000000,1000000,56000000,178000000,341000000,370000000,0.92,177000000.0,243000000,1589000000,2970000000,215000000,5017000000,5283000000,6669000000,5036000000,591000000,22596000000,543000000,1466000000,1280000000,3106000000,5905000000,1280000000,9771000000,TSN
2017-07-01,10-Q,0000100493,9850000000,8648000000,505000000,0.0,697000000,2000000,71000000,169000000,448000000,370000000,1.21,177000000.0,231000000,1710000000,3248000000,238000000,6288000000,5545000000,9264000000,6372000000,594000000,28063000000,1017000000,1608000000,1265000000,3865000000,9807000000,1265000000,10117000000,TSN
2017-09-30,10-Q,0000100493,10145000000,8648000000,505000000,0.0,681000000,2000000,71000000,169000000,395000000,370000000,1.07,177000000.0,318000000,1675000000,3239000000,219000000,6258000000,5568000000,9324000000,6243000000,673000000,28066000000,906000000,1698000000,1199000000,4032000000,9297000000,1199000000,10541000000,TSN
2017-09-30,10-K,0000100493,38260000000,33198000000,2152000000,23000000.0,2921000000,7000000,279000000,850000000,1778000000,370000000,4.79,708000000.0,318000000,1675000000,3239000000,219000000,6258000000,5568000000,9324000000,6243000000,673000000,28066000000,906000000,1698000000,1199000000,4032000000,9297000000,1199000000,10541000000,TSN
2017-12-30,10-Q,0000100493,10229000000,8786000000,521000000,0.0,922000000,2000000,88000000,-790000000,1632000000,371000000,4.4,229000000.0,293000000,1600000000,3213000000,172000000,5993000000,5673000000,9404000000,6282000000,694000000,28046000000,811000000,1748000000,1206000000,3978000000,8875000000,1206000000,11955000000,TSN
2018-03-31,10-Q,0000100493,9773000000,8758000000,521000000,0.0,498000000,2000000,86000000,107000000,316000000,370000000,0.85,229000000.0,198000000,1594000000,3328000000,228000000,5990000000,5755000000,9404000000,6231000000,711000000,28091000000,1128000000,1485000000,1186000000,3838000000,8872000000,1186000000,12136000000,TSN
2018-06-30,10-Q,0000100493,10051000000,8745000000,502000000,0.0,797000000,2000000,89000000,181000000,542000000,369000000,1.47,229000000.0,170000000,1684000000,3378000000,196000000,6077000000,5925000000,9498000000,6405000000,733000000,28638000000,1308000000,1546000000,1187000000,4112000000,8852000000,1187000000,12426000000,TSN
2018-09-29,10-Q,0000100493,9999000000,8745000000,502000000,0.0,819000000,2000000,89000000,181000000,537000000,369000000,1.47,229000000.0,270000000,1723000000,3513000000,182000000,5688000000,6169000000,9739000000,6759000000,754000000,29109000000,1911000000,1694000000,1198000000,5031000000,7962000000,1198000000,12803000000,TSN
2018-09-29,10-K,0000100493,40052000000,34956000000,2071000000,23000000.0,2969000000,7000000,350000000,-282000000,2973000000,369000000,8.04,916000000.0,270000000,1723000000,3513000000,182000000,5688000000,6169000000,9739000000,6759000000,754000000,29109000000,1911000000,1694000000,1198000000,5031000000,7962000000,1198000000,12803000000,TSN
2018-12-29,10-Q,0000100493,10193000000,8838000000,576000000,0.0,807000000,2000000,99000000,154000000,552000000,366000000,1.5,250000000.0,400000000,1892000000,3777000000,232000000,6301000000,7018000000,10814000000,7441000000,761000000,32335000000,3917000000,1962000000,1241000000,7430000000,8075000000,1241000000,13127000000,TSN
2019-03-30,10-Q,0000100493,10443000000,9251000000,600000000,0.0,592000000,5000000,119000000,87000000,398000000,366000000,1.08,250000000.0,360000000,1837000000,3899000000,280000000,6376000000,7085000000,10946000000,7295000000,796000000,32498000000,1564000000,1710000000,1238000000,4614000000,10810000000,1238000000,13423000000,TSN
